표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7223190000	223190	삼성 KODEX 200가치저변동증권상장지수투자신탁[주식]	KODEX 200가치저변동	Samsung KODEX 200 Intrinsic Value ETF	2015-06-26	코스피 200 가치저변동성	KRX	일반 (1)	실물	국내	주식	2000000	삼성자산운용	200000	0.3	비과세
KR7237350004	237350	삼성 KODEX 200대형증권상장지수투자신탁(주식)	KODEX 코스피100	SAMSUNG KODEX 200 Large ETF	2016-01-27	코스피 100	KRX	일반 (1)	실물	국내	주식	500000	삼성자산운용	50000	0.15	비과세
KR7252650007	252650	삼성 KODEX 200동일가중증권상장지수투자신탁[주식]	KODEX 200동일가중	Samsung KODEX 200 Equalweight ETF	2016-09-20	코스피 200 동일가중지수	KRX	일반 (1)	실물	국내	주식	800000	삼성자산운용	200000	0.25	비과세
KR7360140008	360140	삼성 KODEX 200롱코스닥150숏선물증권상장지수투자신탁[주식-파생형]	KODEX 200롱코스닥150숏선물	SAMSUNG KODEX 200LONGKOSDAQ150SHORT Futures ETF	2020-08-21	코스피200 롱 100% 코스닥150 숏 100% 선물지수	KRX	일반 (1)	실물	국내	주식	1600000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7252670005	252670	삼성 KODEX 200선물인버스2X증권상장지수투자신탁(주식-파생형)	KODEX 200선물인버스2X	SAMSUNG KODEX 200 Futures Inverse 2X ETF	2016-09-22	코스피 200 선물지수	KRX	2X 인버스 (-2)	실물	국내	주식	1182400000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7305720005	305720	삼성 KODEX 2차전지산업증권상장지수투자신탁[주식]	KODEX 2차전지산업	Samsung KODEX Secondary Battery Industry ETF	2018-09-12	FnGuide 2차전지 산업 지수	FnGuide	일반 (1)	실물	국내	주식	79600000	삼성자산운용	100000	0.45	비과세
KR7271060006	271060	삼성 KODEX 3대농산물선물특별자산상장지수투자신탁[농산물-파생형](H)	KODEX 3대농산물선물(H)	Samsung KODEX Grains Futures ETF(H)	2017-06-13	S&P GSCI Grains Select Index ER	S&P	일반 (1)	실물	해외	원자재	990000	삼성자산운용	30000	0.55	배당소득세(보유기간과세)
KR7099140006	99140	삼성 KODEX China H 증권상장지수투자신탁[주식]	KODEX China H	SAMSUNG KODEX China H ETF	2007-10-10	Hang Seng China H	HangSeng	일반 (1)	실물	해외	주식	1500000	삼성자산운용	100000	0.37	배당소득세(해외주식투자전용ETF)
KR7204450001	204450	삼성 KODEX China H레버리지증권상장지수투자신탁(주식-파생형)(H)	KODEX China H 레버리지(H)	Samsung KODEX China H Leverage ETF	2014-09-12	Hang Seng China H	HangSeng	2X 레버리지 (2)	실물	해외	주식	4100000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
KR7291660009	291660	삼성 KODEX China H선물인버스증권상장지수투자신탁[주식-파생형](H)	KODEX China H선물인버스(H)	Samsung KODEX China H Futures Inverse ETF(H)	2018-03-16	Hang Seng China Enterprises Futures Index(Price Return)	HangSeng	1X 인버스 (-1)	실물	해외	주식	400000	삼성자산운용	100000	0.64	배당소득세(보유기간과세)
