AllTimePriceId	code	startval	highval	lowval	curval	curvol	Regdate
134715	001810	2330	2370	2325	2345	74523	2020-12-08 11:27:23.860
135519	001810	2330	2370	2325	2350	85581	2020-12-08 11:28:09.393
136304	001810	2330	2370	2325	2350	86896	2020-12-08 11:28:54.660
137092	001810	2330	2370	2325	2350	86896	2020-12-08 11:29:38.053
137892	001810	2330	2370	2325	2345	87307	2020-12-08 11:30:22.833
138685	001810	2330	2370	2325	2345	87307	2020-12-08 11:31:08.447
139473	001810	2330	2370	2325	2345	87307	2020-12-08 11:31:54.067
140259	001810	2330	2370	2325	2345	87307	2020-12-08 11:32:40.587
141060	001810	2330	2370	2325	2350	89313	2020-12-08 11:33:28.633
141849	001810	2330	2370	2325	2350	91137	2020-12-08 11:34:13.273
142636	001810	2330	2370	2325	2350	91313	2020-12-08 11:34:58.120
143434	001810	2330	2370	2325	2350	91313	2020-12-08 11:35:43.637
144215	001810	2330	2370	2325	2350	93314	2020-12-08 11:36:36.073
145015	001810	2330	2370	2325	2350	97414	2020-12-08 11:37:21.433
145811	001810	2330	2370	2325	2350	97414	2020-12-08 11:38:04.823
146598	001810	2330	2370	2325	2345	97476	2020-12-08 11:38:49.827
147391	001810	2330	2370	2325	2345	97476	2020-12-08 11:39:35.827
148180	001810	2330	2370	2325	2345	97476	2020-12-08 11:40:20.247
148973	001810	2330	2370	2325	2350	97486	2020-12-08 11:41:04.857
149761	001810	2330	2370	2325	2350	97486	2020-12-08 11:41:53.873
150556	001810	2330	2370	2325	2350	97486	2020-12-08 11:42:40.447
151353	001810	2330	2370	2325	2345	99267	2020-12-08 11:43:25.483
152141	001810	2330	2370	2325	2345	99267	2020-12-08 11:44:09.563
152938	001810	2330	2370	2325	2345	99267	2020-12-08 11:44:54.080
153732	001810	2330	2370	2325	2345	99267	2020-12-08 11:45:39.307
154519	001810	2330	2370	2325	2345	99267	2020-12-08 11:46:22.860
155320	001810	2330	2370	2325	2345	99267	2020-12-08 11:47:06.643
156106	001810	2330	2370	2325	2345	99267	2020-12-08 11:47:50.543
156896	001810	2330	2370	2325	2345	99267	2020-12-08 11:48:33.987
157691	001810	2330	2370	2325	2345	99267	2020-12-08 11:49:17.363
158481	001810	2330	2370	2325	2345	99267	2020-12-08 11:50:00.410
159267	001810	2330	2370	2325	2355	102268	2020-12-08 11:50:43.707
160055	001810	2330	2370	2325	2355	102268	2020-12-08 11:51:25.223
160846	001810	2330	2370	2325	2355	102268	2020-12-08 11:52:08.207
161645	001810	2330	2370	2325	2355	102268	2020-12-08 11:52:52.537
162443	001810	2330	2370	2325	2355	102268	2020-12-08 11:53:36.567
163225	001810	2330	2370	2325	2355	102268	2020-12-08 11:54:18.130
164031	001810	2330	2370	2325	2350	102273	2020-12-08 11:55:02.457
164816	001810	2330	2370	2325	2360	108217	2020-12-08 11:55:45.210
165609	001810	2330	2370	2325	2360	108217	2020-12-08 11:56:28.910
166405	001810	2330	2370	2325	2360	108217	2020-12-08 11:57:11.467
167192	001810	2330	2370	2325	2360	108220	2020-12-08 11:57:54.077
167978	001810	2330	2370	2325	2360	108220	2020-12-08 11:58:37.047
168774	001810	2330	2370	2325	2360	108220	2020-12-08 11:59:18.657
169573	001810	2330	2370	2325	2360	108220	2020-12-08 12:00:00.253
170355	001810	2330	2370	2325	2360	108220	2020-12-08 12:00:41.827
171153	001810	2330	2370	2325	2345	109220	2020-12-08 12:01:26.247
171947	001810	2330	2370	2325	2345	109220	2020-12-08 12:02:07.253
172733	001810	2330	2370	2325	2350	109701	2020-12-08 12:02:48.830
173525	001810	2330	2370	2325	2350	109701	2020-12-08 12:03:30.547
174317	001810	2330	2370	2325	2350	110509	2020-12-08 12:04:12.737
175112	001810	2330	2370	2325	2350	111009	2020-12-08 12:04:56.157
175906	001810	2330	2370	2325	2350	111009	2020-12-08 12:05:39.893
176691	001810	2330	2370	2325	2350	111009	2020-12-08 12:06:21.260
177492	001810	2330	2370	2325	2350	111009	2020-12-08 12:07:02.970
178288	001810	2330	2370	2325	2350	111009	2020-12-08 12:07:43.063
179076	001810	2330	2370	2325	2350	111009	2020-12-08 12:08:24.160
